OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-way-216604991,Zeus,Wolfsburg,Unter den Eichen 2a-b,38446,52.41726145,10.804485249999999,2.0,https://www.openstreetmap.org/way/216604991,https://www.openstreetmap.org/way/216604991
osm-node-539069162,Alexander,Hannover,Prinzenstraße 10,30159,52.3733640797,9.7445069178,4.6,https://www.openstreetmap.org/node/539069162,https://www.openstreetmap.org/way/124426752
osm-way-122869807,Vinsanto zum Förderturm,Goslar,Bergtal 4,38644,51.888970549999996,10.418969494199999,5.4,https://www.openstreetmap.org/way/122869807,https://www.openstreetmap.org/way/122869807
osm-way-159932727,Hanoi Phô,Braunschweig,Leipziger Straße 85,38124,52.22971795,10.5199614,2.4,https://www.openstreetmap.org/way/159932727,https://www.openstreetmap.org/way/159932727
osm-node-268810378,Corner,Hannover,Velberstraße 10,30451,52.372829286,9.7062278392,3.4,https://www.openstreetmap.org/node/268810378,https://www.openstreetmap.org/way/175083902
osm-node-11683825313,Cafe am Markt,Goslar,Markt 4,38640,51.9057019586,10.4293976712,3.0,https://www.openstreetmap.org/node/11683825313,https://www.openstreetmap.org/way/135962222
osm-way-30819589,Kantina Kreativa (Mensa HBK),Braunschweig,Pippelweg 77,38118,52.25726323279999,10.501413193500001,9.4,https://www.openstreetmap.org/way/30819589,https://www.openstreetmap.org/way/30819589
osm-node-11065641820,Eckis Wirtshaus,Hannover,Egestorffstraße 10,30449,52.36707878540001,9.7123395345,2.5,https://www.openstreetmap.org/node/11065641820,https://www.openstreetmap.org/way/237305767
osm-way-192009861,Der Kuhstall Am Finkenherd,Goslar,Osterwiecker Straße 75,38690,51.95115525999999,10.5917332385,3.8,https://www.openstreetmap.org/way/192009861,https://www.openstreetmap.org/way/192009861
osm-way-31287012,Kantine im Thünen-Institut,Braunschweig,Bundesallee 46,38116,52.289237653,10.43866966225,4.9,https://www.openstreetmap.org/way/31287012,https://www.openstreetmap.org/way/31287012
osm-way-95428122,El Chileno,Hannover,Langenforther Straße 20,30657,52.419534150000004,9.79254125,2.0,https://www.openstreetmap.org/way/95428122,https://www.openstreetmap.org/way/95428122
osm-way-972894237,Flösser Stube,Goslar,Talstraße 30,38642,51.8945606646,10.479744635849999,5.6,https://www.openstreetmap.org/way/972894237,https://www.openstreetmap.org/way/972894237
osm-way-176974326,Restaurant Pfälzer Hof (15),Braunschweig,Ernst-Böhme-Straße 15,38112,52.30988883169999,10.493018972900002,2.0,https://www.openstreetmap.org/way/176974326,https://www.openstreetmap.org/way/176974326
osm-node-322834673,Enchilada,Hannover,Knochenhauerstraße 36,30159,52.372324688999996,9.73363744535,2.5,https://www.openstreetmap.org/node/322834673,https://www.openstreetmap.org/way/186605161
osm-way-156783634,Gasthaus Weißes Roß,Goslar,Osterwiecker Straße 105,38690,51.952695840649994,10.609270994100001,3.2,https://www.openstreetmap.org/way/156783634,https://www.openstreetmap.org/way/156783634
osm-way-146059203,Vereinsgaststätte Kleingärtnerverein Mückenburg,Braunschweig,Georg-Westermann-Allee 45,38104,52.2623376506,10.56051834,2.4,https://www.openstreetmap.org/way/146059203,https://www.openstreetmap.org/way/146059203
osm-node-7434993113,Forum im [ka:punkt],Hannover,Grupenstraße 8,30159,52.37225903430001,9.73647490315,2.6,https://www.openstreetmap.org/node/7434993113,https://www.openstreetmap.org/way/553133376
